main_muscle_group,sub_muscle_group,exercise_name,equipment_required,mechanics,difficulty
Chest,Overall Chest,Barbell Bench Press,Barbell,Compound,Intermediate
Chest,Overall Chest,Dumbbell Bench Press,Dumbbell,Compound,Beginner/Intermediate
Chest,Upper Chest,Incline Barbell Press,Barbell,Compound,Intermediate
Chest,Upper Chest,Incline Dumbbell Press,Dumbbell,Compound,Intermediate
Chest,Lower Chest,Decline Barbell Press,Barbell,Compound,Intermediate
Chest,Lower Chest,High-to-Low Cable Crossover,Cable,Isolation,Beginner
Chest,Inner/Outer Chest,Mid-Level Cable Crossover,Cable,Isolation,Beginner
Chest,Inner Chest,Pec Deck Machine (Flyes),Machine,Isolation,Beginner
Chest,Upper/Inner Chest,Low-to-High Cable Crossover,Cable,Isolation,Beginner/Intermediate
Chest,Overall Chest,Push-ups,Bodyweight,Compound,Beginner
Chest,Lower Chest / Triceps,Chest Dips,Bodyweight/Machine,Compound,Intermediate/Advanced
Back,Overall Back (Thickness),Barbell Row,Barbell,Compound,Intermediate
Back,Overall Back,Pendlay Row,Barbell,Compound,Advanced
Back,Lats (Width),Wide-Grip Lat Pulldown,Cable/Machine,Compound,Beginner
Back,Lats (Width),Close-Grip Lat Pulldown,Cable/Machine,Compound,Beginner
Back,Lats (Width),Pull-ups,Bodyweight,Compound,Intermediate/Advanced
Back,Lats / Biceps,Chin-ups,Bodyweight,Compound,Intermediate
Back,Mid Back,Seated Cable Row,Cable,Compound,Beginner
Back,Lower Back / Erector Spinae,Deadlift,Barbell,Compound,Advanced
Back,Lower Back,Back Extensions (Hyperextensions),Machine/Bodyweight,Isolation,Beginner
Back,Upper Back / Traps,T-Bar Row,Machine/Barbell,Compound,Intermediate
Back,Upper Traps,Barbell Shrugs,Barbell/Dumbbell,Isolation,Beginner
Back,Lats / Mid Back,Single-Arm Dumbbell Row,Dumbbell,Compound,Beginner/Intermediate
Back,Lats,Straight-Arm Pulldown,Cable,Isolation,Beginner
Legs,Quads / Glutes,Barbell Back Squat,Barbell,Compound,Intermediate/Advanced
Legs,Quads Emphasis,Front Squat,Barbell,Compound,Advanced
Legs,Quads / Glutes,Leg Press,Machine,Compound,Beginner
Legs,Quads / Glutes,Hack Squat,Machine,Compound,Intermediate
Legs,Glutes / Hamstrings,Romanian Deadlift (RDL),Barbell/Dumbbell,Compound,Intermediate
Legs,Glutes,Barbell Hip Thrust,Barbell,Compound,Intermediate
Legs,Quads,Leg Extension,Machine,Isolation,Beginner
Legs,Hamstrings,Lying Leg Curl,Machine,Isolation,Beginner
Legs,Hamstrings,Seated Leg Curl,Machine,Isolation,Beginner
